ISR_M_d,ISR_frequency,ISR_sine_r[0],ISR_sine_r[1],ISR_sine_r[2],Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19
1,1,0.809017003,-0.91354543,0.104528464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.809201598,-0.913417637,0.104216017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.809386134,-0.913289726,0.103903569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.809570611,-0.913161695,0.103591099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.809754968,-0.913033605,0.103278629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.809939265,-0.912905455,0.102966145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.810123503,-0.912777126,0.102653652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.810307622,-0.912648797,0.102341145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.810491681,-0.912520349,0.102028631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.810675681,-0.912391782,0.101716101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.810859561,-0.912263155,0.101403572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.811043382,-0.912134409,0.101091027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.811227143,-0.912005603,0.100778468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.811410785,-0.911876678,0.100465909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.811594367,-0.911747694,0.100153327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.81177789,-0.91161859,0.0998407453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.811961293,-0.911489427,0.0995281488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.812144637,-0.911360204,0.0992155448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.812327862,-0.911230803,0.0989029333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.812511086,-0.911101401,0.0985903069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.812694192,-0.91097182,0.0982776731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.812877178,-0.91084224,0.0979650319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.813060105,-0.910712481,0.0976523831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.813242972,-0.910582721,0.0973397195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.813425779,-0.910452783,0.097027041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.813608468,-0.910322785,0.0967143625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.813791037,-0.910192728,0.0964016691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.813973606,-0.910062551,0.0960889682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.814156055,-0.909932315,0.0957762599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.814338446,-0.90980196,0.0954635441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.814520717,-0.909671545,0.0951508135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.814702928,-0.909541011,0.0948380753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.81488508,-0.909410417,0.0945253223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.815067112,-0.909279704,0.0942125693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.815249085,-0.909148932,0.0938998014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.815430999,-0.90901804,0.093587026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.815612793,-0.908887029,0.0932742432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.815794528,-0.908755958,0.0929614455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.815976202,-0.908624828,0.0926486403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
